,C,Intercept,x1,x2,x1^2,x1 x2,x2^2,x1^3,x1^2 x2,x1 x2^2,x2^3,x1^4,x1^3 x2,x1^2 x2^2,x1 x2^3,x2^4,x1^5,x1^4 x2,x1^3 x2^2,x1^2 x2^3,x1 x2^4,x2^5
0,0.1,0.3524,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,1.0,0.3524,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,10.0,0.242,-0.0,-0.8166,0.2919,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,100.0,0.06,-0.0,-0.9382,0.8149,0.0,-0.0,0.0,-0.0,0.0,-0.0191,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
4,1000.0,0.0151,-0.0285,-0.8975,0.9751,-0.0889,0.202,0.0,0.0,0.1863,-0.0962,-0.1341,0.1204,-0.0,0.0,-0.2729,0.0238,0.0514,0.0191,-0.1307,-0.2634,-0.0
