,C,Intercept,x1,x2,x1^2,x1 x2,x2^2,x1^3,x1^2 x2,x1 x2^2,x2^3,x1^4,x1^3 x2,x1^2 x2^2,x1 x2^3,x2^4,x1^5,x1^4 x2,x1^3 x2^2,x1^2 x2^3,x1 x2^4,x2^5
0,0.1,0.1139,-0.0087,-0.6936,0.4783,-0.032,0.0066,0.0038,-0.1133,0.0151,-0.2275,0.2695,0.0326,0.1019,0.0056,-0.0638,0.015,-0.0221,0.0134,-0.0427,-0.0339,-0.0851
1,1.0,0.0346,-0.0271,-0.8562,0.835,-0.1427,0.1845,-0.0197,-0.057,0.1499,-0.1538,0.0109,0.1645,0.0037,0.0454,-0.2557,0.0467,0.1077,0.0728,-0.1304,-0.25,0.0129
2,10.0,-0.0244,-0.0475,-0.9291,1.1003,-0.2018,0.4447,-0.1248,-0.0225,0.5777,0.0005,-0.2343,0.244,-0.1513,0.0327,-0.5268,0.1493,0.262,0.0433,-0.3594,-0.7768,-0.0532
3,100.0,-0.037,-0.0635,-0.9618,1.1477,-0.2035,0.519,-0.1607,-0.0063,0.7947,0.1118,-0.2732,0.2588,-0.2014,0.0082,-0.6066,0.1946,0.3022,-0.0102,-0.4392,-1.012,-0.135
4,1000.0,-0.0384,-0.0661,-0.9668,1.1527,-0.2033,0.5282,-0.1644,-0.0033,0.8255,0.1298,-0.2771,0.2605,-0.2079,0.0044,-0.6167,0.2002,0.3064,-0.0188,-0.45,-1.0446,-0.1488
